bus_id,gpsX,gpsY,address_1,address_2
130,127.08993,37.5517,광진구,구의동
130,127.089516,37.552307,광진구,구의동
130,127.0895,37.55233,광진구,구의동
130,127.08947,37.552387,광진구,능동
130,127.08947,37.552387,광진구,능동
130,127.089455,37.552414,광진구,능동
130,127.0892,37.55283,광진구,중곡동
130,127.08893,37.553223,광진구,중곡동
130,127.088776,37.55339,광진구,중곡동
130,127.08868,37.55349,광진구,중곡동
130,127.08867,37.553497,광진구,중곡동
130,127.08867,37.553497,광진구,중곡동
130,127.08865,37.55351,광진구,중곡동
130,127.08853,37.553608,광진구,중곡동
130,127.08844,37.55368,광진구,중곡동
130,127.08816,37.55383,광진구,중곡동
130,127.08816,37.55383,광진구,중곡동
130,127.08789,37.553974,광진구,중곡동
130,127.08711,37.55427,광진구,중곡동
130,127.08704,37.5543,광진구,중곡동
130,127.087,37.554317,광진구,중곡동
130,127.08582,37.554768,광진구,중곡동
130,127.085754,37.554794,광진구,중곡동
130,127.08571,37.554813,광진구,중곡동
130,127.084526,37.555267,광진구,중곡동
130,127.08445,37.555298,광진구,중곡동
130,127.08441,37.555313,광진구,중곡동
130,127.08321,37.55577,광진구,중곡동
130,127.08314,37.5558,광진구,중곡동
130,127.0831,37.555817,광진구,중곡동
130,127.081894,37.556282,광진구,중곡동
130,127.08182,37.55631,광진구,중곡동
130,127.08182,37.55631,광진구,중곡동
130,127.08178,37.556324,광진구,중곡동
130,127.08073,37.55673,광진구,중곡동
130,127.08066,37.556755,광진구,중곡동
130,127.08062,37.55677,광진구,중곡동
130,127.07955,37.55718,광진구,중곡동
130,127.079506,37.557198,광진구,중곡동
130,127.079506,37.557198,광진구,중곡동
130,127.07944,37.557224,광진구,중곡동
130,127.07877,37.557487,광진구,중곡동
130,127.07877,37.557487,광진구,중곡동
130,127.07831,37.557674,광진구,중곡동
130,127.07824,37.5577,광진구,중곡동
130,127.07819,37.55772,광진구,중곡동
130,127.077034,37.55819,광진구,중곡동
130,127.077,37.558205,광진구,중곡동
130,127.077,37.558205,광진구,중곡동
130,127.07698,37.558212,광진구,중곡동
130,127.07579,37.558674,광진구,중곡동
130,127.07572,37.5587,광진구,중곡동
130,127.075676,37.558716,광진구,중곡동
130,127.07472,37.55912,광진구,중곡동
130,127.07455,37.559177,광진구,중곡동
130,127.07445,37.55921,광진구,중곡동
130,127.07431,37.559265,광진구,중곡동
130,127.074196,37.559303,광진구,중곡동
130,127.074135,37.55932,광진구,중곡동
130,127.074135,37.55932,광진구,중곡동
130,127.074135,37.55932,광진구,중곡동
130,127.07386,37.559433,광진구,중곡동
130,127.07383,37.559444,광진구,중곡동
130,127.07373,37.559483,광진구,중곡동
130,127.07322,37.559635,광진구,중곡동
146,127.07993,37.571693,광진구,중곡동
146,127.07993,37.571693,광진구,중곡동
146,127.079926,37.57165,광진구,중곡동
146,127.079796,37.570972,광진구,중곡동
146,127.07955,37.570103,광진구,중곡동
146,127.0794,37.56963,광진구,중곡동
