bus_id,gpsX,gpsY,address_1,address_2,arsId,station_name
721,127.0735881785,37.5459043941,광진구,화양동,104000141,어린이대공원역.화양천주교회
721,127.0770314953,37.5520458638,광진구,능동,104000047,어린이대공원앞
721,127.0786346746,37.5551766839,광진구,능동,104000048,능동사거리.군자역
721,127.0756461481,37.5587409868,광진구,중곡동,104000001,군자교입구
2012,127.0860566161,37.5679159934,광진구,중곡동,104000038,용암사입구
2012,127.086708621,37.5639660286,광진구,중곡동,104000041,대원고교앞
2012,127.0870618595,37.5620725727,광진구,중곡동,104000023,중곡동종점
2012,127.0876755037,37.5583163621,광진구,중곡동,101000252,신성시장앞
2012,127.0882622041,37.554798956,광진구,중곡동,104000167,중곡동입구
2012,127.086550509,37.5544965543,광진구,중곡동,104000005,중곡동입구삼거리
2012,127.082473132,37.5560989145,광진구,중곡동,104000003,군자역.용마초등학교
2012,127.0775461163,37.5560788246,광진구,군자동,104000161,군자역먹자골목사거리
2012,127.0761527261,37.5548992984,광진구,군자동,104000162,군자동주민센터앞
2012,127.073240182,37.5534260496,광진구,군자동,104000150,세종초등학교.세종사이버대학교앞
2012,127.0710877554,37.5513566499,광진구,군자동,104000153,군자새마을금고앞
2012,127.0705211932,37.5487613545,광진구,군자동,104000155,장안초등학교
2012,127.0686841693,37.5483288986,광진구,군자동,104000293,화양사거리
2012,127.070754754,37.5486923124,광진구,군자동,104000154,장안초등학교
2012,127.0713225073,37.5518512093,광진구,군자동,104000152,군자새마을금고.성동광진위센터
2012,127.0742546359,37.5537705351,광진구,군자동,104000151,세종초교앞
2012,127.0753228303,37.5546466232,광진구,군자동,104000149,군자삼거리
2012,127.0760329007,37.5561609072,광진구,군자동,104000147,능동우편취급국
2012,127.0765591034,37.5571562758,광진구,군자동,104000146,KEB.하나은행.군자동.지점
2012,127.081565514,37.5562229948,광진구,능동,104000004,군자역.용마초등학교
2012,127.0848655495,37.554826955,광진구,능동,104000299,중곡동입구삼거리
2012,127.0886689538,37.5541967204,광진구,중곡동,104000046,중곡동입구
2012,127.0879297616,37.5583189468,광진구,중곡동,104000045,신성시장
2012,127.0873093515,37.5626950451,광진구,중곡동,104000044,중곡동종점
2012,127.0869681157,37.5641992207,광진구,중곡동,104000043,대원고교앞
2012,127.0863735321,37.5678680041,광진구,중곡동,104000042,용암사입구
2014,127.061162321,37.5365680167,광진구,자양동,104000127,영동대교북단
2014,127.0628993085,37.5366067526,광진구,자양동,104000128,노룬산시장앞
2014,127.066874712,37.5355719112,광진구,자양동,104000107,국민은행신자양지점
2014,127.067497,37.533632,광진구,자양동,104000130,자양4동주민센터앞
2014,127.0679950793,37.5335104561,광진구,자양동,104000129,신양초등학교앞
2014,127.0673127049,37.5356635743,광진구,자양동,104000122,국민은행신자양지점
2014,127.0629447386,37.5368058708,광진구,자양동,104000126,노룬산시장앞
